Time,Average
2024-08-13 12:11:42+00:00,143
2024-08-13 12:11:53+00:00,143
2024-08-13 12:12:03+00:00,143
2024-08-13 12:12:13+00:00,143
2024-08-13 12:12:23+00:00,143
2024-08-13 12:12:33+00:00,143
2024-08-13 12:12:43+00:00,143
2024-08-13 12:12:53+00:00,143
2024-08-13 12:13:03+00:00,143
2024-08-13 12:13:13+00:00,177
2024-08-13 12:13:23+00:00,190
2024-08-13 12:13:33+00:00,190
2024-08-13 12:13:43+00:00,177
2024-08-13 12:13:54+00:00,188
2024-08-13 12:14:04+00:00,187
2024-08-13 12:14:14+00:00,183
2024-08-13 12:14:24+00:00,186
2024-08-13 12:14:34+00:00,187
2024-08-13 12:14:44+00:00,186
2024-08-13 12:14:54+00:00,187
2024-08-13 12:15:04+00:00,185
2024-08-13 12:15:14+00:00,187
2024-08-13 12:15:24+00:00,189
2024-08-13 12:15:35+00:00,188
2024-08-13 12:15:45+00:00,186
2024-08-13 12:15:55+00:00,187
2024-08-13 12:16:05+00:00,188
2024-08-13 12:16:15+00:00,187
2024-08-13 12:16:25+00:00,188
2024-08-13 12:16:35+00:00,188
2024-08-13 12:16:45+00:00,187
2024-08-13 12:16:55+00:00,189
2024-08-13 12:17:05+00:00,188
2024-08-13 12:17:15+00:00,190
2024-08-13 12:17:25+00:00,188
2024-08-13 12:17:36+00:00,189
2024-08-13 12:17:46+00:00,190
2024-08-13 12:17:56+00:00,188
2024-08-13 12:18:06+00:00,188
2024-08-13 12:18:16+00:00,188
2024-08-13 12:18:26+00:00,189
2024-08-13 12:18:36+00:00,188
2024-08-13 12:18:46+00:00,187
2024-08-13 12:18:56+00:00,189
2024-08-13 12:19:06+00:00,188
2024-08-13 12:19:16+00:00,188
2024-08-13 12:19:27+00:00,188
2024-08-13 12:19:37+00:00,189
2024-08-13 12:19:47+00:00,189
2024-08-13 12:19:57+00:00,187
2024-08-13 12:20:07+00:00,188
2024-08-13 12:20:17+00:00,189
2024-08-13 12:20:27+00:00,188
2024-08-13 12:20:37+00:00,188
2024-08-13 12:20:47+00:00,188
2024-08-13 12:20:57+00:00,187
2024-08-13 12:21:07+00:00,187
2024-08-13 12:21:17+00:00,189
2024-08-13 12:21:28+00:00,189
2024-08-13 12:21:38+00:00,187
2024-08-13 12:21:48+00:00,188
2024-08-13 12:21:58+00:00,189
2024-08-13 12:22:08+00:00,189
2024-08-13 12:22:18+00:00,190
2024-08-13 12:22:28+00:00,188
2024-08-13 12:22:38+00:00,189
2024-08-13 12:22:48+00:00,188
2024-08-13 12:22:58+00:00,188
2024-08-13 12:23:08+00:00,170
2024-08-13 12:23:18+00:00,148
2024-08-13 12:23:29+00:00,148
2024-08-13 12:23:39+00:00,148
2024-08-13 12:23:49+00:00,148
2024-08-13 12:23:59+00:00,148
2024-08-13 12:24:09+00:00,148
2024-08-13 12:24:19+00:00,148
